<<<<<<< HEAD
拾取时间：2025-12-31 12:38:37, 道具类型：HEAL, 玩家位置：(886.62, 543.18), 玩家血量：100
拾取时间：2025-12-31 13:57:36, 道具类型：HEAL, 玩家位置：(487.00, 422.08), 玩家血量：60
拾取时间：2025-12-31 13:57:37, 道具类型：HEAL, 玩家位置：(401.37, 407.85), 玩家血量：100
拾取时间：2025-12-31 13:57:38, 道具类型：BUFF, 玩家位置：(317.76, 423.54), 玩家血量：100
拾取时间：2025-12-31 13:57:45, 道具类型：BUFF, 玩家位置：(312.78, 439.98), 玩家血量：100
=======
拾取时间：2025-12-31 12:11:35, 道具类型：BUFF, 玩家位置：(504.89, 317.70), 玩家血量：80
拾取时间：2025-12-31 12:11:38, 道具类型：INVINCIBLE, 玩家位置：(711.91, 476.60), 玩家血量：80
拾取时间：2025-12-31 12:12:04, 道具类型：BOMB, 玩家位置：(306.89, 196.32), 玩家血量：20
拾取时间：2025-12-31 12:12:11, 道具类型：BUFF, 玩家位置：(897.86, 319.79), 玩家血量：50
拾取时间：2025-12-31 12:12:27, 道具类型：BOMB, 玩家位置：(297.42, 95.87), 玩家血量：40
拾取时间：2025-12-31 12:25:03, 道具类型：通用道具, 玩家位置：(262.76, 501.88), 玩家血量：0
拾取时间：2025-12-31 12:28:27, 道具类型：通用道具, 玩家位置：(524.19, 448.76), 玩家血量：0
拾取时间：2025-12-31 12:31:47, 道具类型：通用道具, 玩家位置：(862.41, 379.41), 玩家血量：0
拾取时间：2025-12-31 12:43:35, 道具类型：BOMB, 玩家位置：(362.39, 847.20), 玩家血量：60
>>>>>>> f3994b3110e1451858ddf68b8739036327e7bf16
拾取时间：2025-12-31 20:09:29, 道具类型：BUFF, 玩家位置：(943.18, 543.63), 玩家血量：100
拾取时间：2025-12-31 20:09:50, 道具类型：BOMB, 玩家位置：(1105.85, 366.25), 玩家血量：80
拾取时间：2025-12-31 20:09:51, 道具类型：BUFF, 玩家位置：(1059.54, 345.06), 玩家血量：80
拾取时间：2025-12-31 20:10:14, 道具类型：HEAL, 玩家位置：(385.42, 778.65), 玩家血量：100
拾取时间：2025-12-31 20:10:22, 道具类型：HEAL, 玩家位置：(298.07, 381.30), 玩家血量：100
拾取时间：2025-12-31 20:10:23, 道具类型：HEAL, 玩家位置：(455.86, 394.25), 玩家血量：100
拾取时间：2025-12-31 20:10:25, 道具类型：BOMB, 玩家位置：(505.26, 490.39), 玩家血量：100
拾取时间：2025-12-31 20:36:45, 道具类型：BOMB, 玩家位置：(832.70, 457.30), 玩家血量：20
拾取时间：2025-12-31 20:37:31, 道具类型：INVINCIBLE, 玩家位置：(555.55, 334.70), 玩家血量：100
拾取时间：2025-12-31 20:37:59, 道具类型：BUFF, 玩家位置：(0.00, 669.24), 玩家血量：100
拾取时间：2025-12-31 20:38:08, 道具类型：HEAL, 玩家位置：(603.63, 456.19), 玩家血量：100
拾取时间：2025-12-31 20:38:09, 道具类型：INVINCIBLE, 玩家位置：(822.51, 440.28), 玩家血量：100
拾取时间：2025-12-31 20:38:31, 道具类型：BUFF, 玩家位置：(555.68, 619.96), 玩家血量：40
拾取时间：2025-12-31 20:38:34, 道具类型：HEAL, 玩家位置：(503.28, 421.53), 玩家血量：90
